1,1,0.01639344262295082,SimpleParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 20'' LCD])
1,2,0.01639344262295082,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
1,3,0.01639344262295082,ConcederNegotiationParty@2,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
1,4,0.01639344262295082,ConcederNegotiationParty@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
2,1,0.03278688524590164,SimpleParty@0,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
2,2,0.03278688524590164,ConcederNegotiationParty@1,(Accept  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
2,3,0.03278688524590164,ConcederNegotiationParty@2,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 19'' LCD])
2,4,0.03278688524590164,ConcederNegotiationParty@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
3,1,0.04918032786885246,SimpleParty@0,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
3,2,0.04918032786885246,ConcederNegotiationParty@1,(Accept  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
3,3,0.04918032786885246,ConcederNegotiationParty@2,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
3,4,0.04918032786885246,ConcederNegotiationParty@3,(Accept  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
4,1,0.06557377049180328,SimpleParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 20'' LCD])
4,2,0.06557377049180328,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 19'' LCD])
4,3,0.06557377049180328,ConcederNegotiationParty@2,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
4,4,0.06557377049180328,ConcederNegotiationParty@3,(Accept  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
5,1,0.08196721311475409,SimpleParty@0,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
5,2,0.08196721311475409,ConcederNegotiationParty@1,(Accept  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
5,3,0.08196721311475409,ConcederNegotiationParty@2,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
5,4,0.08196721311475409,ConcederNegotiationParty@3,(Accept  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
6,1,0.09836065573770492,SimpleParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
6,2,0.09836065573770492,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Dell, Harddisk: 60 Gb, External Monitor: 19'' LCD])
6,3,0.09836065573770492,ConcederNegotiationParty@2,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 20'' LCD])
6,4,0.09836065573770492,ConcederNegotiationParty@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 19'' LCD])
7,1,0.11475409836065574,SimpleParty@0,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
7,2,0.11475409836065574,ConcederNegotiationParty@1,(Accept  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
7,3,0.11475409836065574,ConcederNegotiationParty@2,(Accept  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 19'' LCD])
7,4,0.11475409836065574,ConcederNegotiationParty@3,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 19'' LCD])
8,1,0.13114754098360656,SimpleParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
8,2,0.13114754098360656,ConcederNegotiationParty@1,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
8,3,0.13114754098360656,ConcederNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
8,4,0.13114754098360656,ConcederNegotiationParty@3,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
9,1,0.14754098360655737,SimpleParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 20'' LCD])
9,2,0.14754098360655737,ConcederNegotiationParty@1,(Accept  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 20'' LCD])
9,3,0.14754098360655737,ConcederNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 120 Gb, External Monitor: 19'' LCD])
9,4,0.14754098360655737,ConcederNegotiationParty@3,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 19'' LCD])
10,1,0.16393442622950818,SimpleParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 23'' LCD])
10,2,0.16393442622950818,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 20'' LCD])
10,3,0.16393442622950818,ConcederNegotiationParty@2,(Offer  bid:Bid[Laptop: HP, Harddisk: 120 Gb, External Monitor: 19'' LCD])
10,4,0.16393442622950818,ConcederNegotiationParty@3,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 19'' LCD])
11,1,0.18032786885245902,SimpleParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
11,2,0.18032786885245902,ConcederNegotiationParty@1,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
11,3,0.18032786885245902,ConcederNegotiationParty@2,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
11,4,0.18032786885245902,ConcederNegotiationParty@3,(Accept  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
agreement,Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD],0.8740242984783759,0.874024298478376,0.873832627329898,0.873832627329898
