1,1,0.01639344262295082,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
1,2,0.01639344262295082,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 20KW/KG, Charging Speed: 11, Weather Condition: Partly Sunny])
2,1,0.03278688524590164,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
2,2,0.03278688524590164,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: Toyota RAV4 EV, Battery Capacity: 20KW/KG, Charging Speed: 4, Weather Condition: Partly Sunny])
3,1,0.04918032786885246,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
3,2,0.04918032786885246,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 20KW/KG, Charging Speed: 4, Weather Condition: Windy])
4,1,0.06557377049180328,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
4,2,0.06557377049180328,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: Kia Soul EV, Battery Capacity: 30KW/KG, Charging Speed: 10, Weather Condition: Partly Sunny])
5,1,0.08196721311475409,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
5,2,0.08196721311475409,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 70KW/KG, Charging Speed: 7, Weather Condition: Sunny])
6,1,0.09836065573770492,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
6,2,0.09836065573770492,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: Kia Soul EV, Battery Capacity: 60KW/KG, Charging Speed: 15, Weather Condition: Rainy])
7,1,0.11475409836065574,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
7,2,0.11475409836065574,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: Fiat 500e, Battery Capacity: 30KW/KG, Charging Speed: 1, Weather Condition: Rainy])
8,1,0.13114754098360656,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
8,2,0.13114754098360656,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: Nissan Leaf, Battery Capacity: 70KW/KG, Charging Speed: 10, Weather Condition: Windy])
9,1,0.14754098360655737,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
9,2,0.14754098360655737,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: Chevrolet Spark EV, Battery Capacity: 70KW/KG, Charging Speed: 15, Weather Condition: Windy])
10,1,0.16393442622950818,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
10,2,0.16393442622950818,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: Kia Soul EV, Battery Capacity: 100KW/KG, Charging Speed: 3, Weather Condition: Isolated T-Storms])
11,1,0.18032786885245902,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
11,2,0.18032786885245902,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 14, Weather Condition: Sunny])
12,1,0.19672131147540983,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
12,2,0.19672131147540983,KakeSobaSpearman@1,(Offer  bid:Bid[Electric Vehicle: Chevrolet Spark EV, Battery Capacity: 100KW/KG, Charging Speed: 11, Weather Condition: Rainy])
13,1,0.21311475409836064,ConanParty@0,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
