1,1,0.01639344262295082,SAGASpearman@2,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
1,2,0.01639344262295082,ConanParty@3,(Offer  bid:Bid[Electric Vehicle: Fiat 500e, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Partly Sunny])
2,1,0.03278688524590164,SAGASpearman@2,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
2,2,0.03278688524590164,ConanParty@3,(Offer  bid:Bid[Electric Vehicle: Fiat 500e, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Partly Sunny])
3,1,0.04918032786885246,SAGASpearman@2,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
3,2,0.04918032786885246,ConanParty@3,(Offer  bid:Bid[Electric Vehicle: Fiat 500e, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Partly Sunny])
4,1,0.06557377049180328,SAGASpearman@2,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
4,2,0.06557377049180328,ConanParty@3,(Offer  bid:Bid[Electric Vehicle: Fiat 500e, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Partly Sunny])
5,1,0.08196721311475409,SAGASpearman@2,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
5,2,0.08196721311475409,ConanParty@3,(Offer  bid:Bid[Electric Vehicle: Fiat 500e, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Partly Sunny])
6,1,0.09836065573770492,SAGASpearman@2,(Offer  bid:Bid[Electric Vehicle: BMW i3, Battery Capacity: 100KW/KG, Charging Speed: 17, Weather Condition: Windy])
