1,1,0.01639344262295082,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
1,2,0.01639344262295082,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 19'' LCD])
2,1,0.03278688524590164,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
2,2,0.03278688524590164,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 80 Gb, External Monitor: 20'' LCD])
3,1,0.04918032786885246,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
3,2,0.04918032786885246,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
4,1,0.06557377049180328,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
4,2,0.06557377049180328,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
5,1,0.08196721311475409,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
5,2,0.08196721311475409,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 19'' LCD])
6,1,0.09836065573770492,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
6,2,0.09836065573770492,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 19'' LCD])
7,1,0.11475409836065574,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
7,2,0.11475409836065574,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 19'' LCD])
8,1,0.13114754098360656,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
8,2,0.13114754098360656,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 80 Gb, External Monitor: 20'' LCD])
9,1,0.14754098360655737,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
9,2,0.14754098360655737,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 19'' LCD])
10,1,0.16393442622950818,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
10,2,0.16393442622950818,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 19'' LCD])
11,1,0.18032786885245902,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
11,2,0.18032786885245902,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 60 Gb, External Monitor: 20'' LCD])
12,1,0.19672131147540983,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
12,2,0.19672131147540983,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Macintosh, Harddisk: 120 Gb, External Monitor: 20'' LCD])
13,1,0.21311475409836064,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
13,2,0.21311475409836064,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 20'' LCD])
14,1,0.22950819672131148,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
14,2,0.22950819672131148,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 20'' LCD])
15,1,0.2459016393442623,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
15,2,0.2459016393442623,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 20'' LCD])
16,1,0.26229508196721313,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
16,2,0.26229508196721313,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: Dell, Harddisk: 80 Gb, External Monitor: 20'' LCD])
17,1,0.2786885245901639,ConanParty@0,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
17,2,0.2786885245901639,ConcederNegotiationParty@1,(Offer  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
18,1,0.29508196721311475,ConanParty@0,(Accept  bid:Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD])
agreement,Bid[Laptop: HP, Harddisk: 60 Gb, External Monitor: 19'' LCD],1.0,0.8150795959148791
