sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Perceived. Util. 1;Perceived. Util. 2;Profile 1;Profile 2
0.041;61;;60rounds;No;No;1;0.00000;0.00000;1.41421;1.41421;0.00000;KakeSobaSpearman@6;KakeSobaSpearman@7;0.0;0.0;0.0;0.0;0.0;0.0;IntegerDomain-prof1.xml;IntegerDomain-prof2.xml
0.026;26;;60rounds;Yes;No;2;0.97500;1.00000;0.02500;0.02500;1.97500;SAGASpearman@8;KakeSobaSpearman@9;1.0;0.975;1.0;0.975;1.0;0.975;IntegerDomain-prof1.xml;IntegerDomain-prof2.xml
0.019;26;;60rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;ConanParty@10;KakeSobaSpearman@11;1.0;1.0;1.0;1.0;0.6499999999999999;1.0;IntegerDomain-prof1.xml;IntegerDomain-prof2.xml
0.034;61;;60rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;KakeSobaSpearman@12;SAGASpearman@13;1.0;1.0;1.0;1.0;1.0;1.0;IntegerDomain-prof1.xml;IntegerDomain-prof2.xml
0.004;4;;60rounds;Yes;No;2;0.97500;1.00000;0.02500;0.02500;1.97500;SAGASpearman@14;SAGASpearman@15;1.0;0.975;1.0;0.975;1.0;0.975;IntegerDomain-prof1.xml;IntegerDomain-prof2.xml
0.004;3;;60rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;ConanParty@16;SAGASpearman@17;1.0;1.0;1.0;1.0;0.6499999999999999;1.0;IntegerDomain-prof1.xml;IntegerDomain-prof2.xml
0.035;49;;60rounds;Yes;No;2;0.81000;0.82500;0.25831;0.25831;1.63500;KakeSobaSpearman@18;ConanParty@19;0.8099999999999999;0.8250000000000001;0.8099999999999999;0.8250000000000001;0.8099999999999999;0.32500000000000007;IntegerDomain-prof1.xml;IntegerDomain-prof2.xml
0.006;4;;60rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;SAGASpearman@20;ConanParty@21;1.0;1.0;1.0;1.0;1.0;0.5;IntegerDomain-prof1.xml;IntegerDomain-prof2.xml
0.006;2;;60rounds;Yes;No;2;1.00000;1.00000;0.00000;0.00000;2.00000;ConanParty@22;ConanParty@23;1.0;1.0;1.0;1.0;0.6499999999999999;0.5;IntegerDomain-prof1.xml;IntegerDomain-prof2.xml
;61;Session genius.core.session.Session@7ea026e2 failed: Failed to execute protocol: domain does not match the negotiation domain:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class];60rounds;No;;0;;;;;;KakeSobaSpearman;KakeSobaSpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof2
;2;Session genius.core.session.Session@709d2691 failed: Failed to execute protocol: Execution failed of KakeSobaSpearman@27:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class];60rounds;No;;0;;;;;;SAGASpearman;KakeSobaSpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof2
;3;Session genius.core.session.Session@4a822e8c failed: Failed to execute protocol: Execution failed of ConanParty@28:java.lang.ClassCastException: genius.core.issue.ValueInteger cannot be cast to genius.core.issue.ValueDiscrete: genius.core.issue.ValueInteger cannot be cast to genius.core.issue.ValueDiscrete:[/Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class];60rounds;No;;0;;;;;;ConanParty;KakeSobaSpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof2
;2;Session genius.core.session.Session@69be2c90 failed: Failed to execute protocol: Execution failed of KakeSobaSpearman@30:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class];60rounds;No;;0;;;;;;KakeSobaSpearman;SAGASpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof2
;2;Session genius.core.session.Session@7bdcece1 failed: Failed to execute protocol: Execution failed of SAGASpearman@32:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class];60rounds;No;;0;;;;;;SAGASpearman;SAGASpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof2
;2;Session genius.core.session.Session@1dcb68b2 failed: Failed to execute protocol: Execution failed of ConanParty@34:java.lang.NullPointerException: null:[/Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class, /Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/SAGASpearman.class];60rounds;No;;0;;;;;;ConanParty;SAGASpearman;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof2
;2;Session genius.core.session.Session@18aeb090 failed: Failed to execute protocol: Execution failed of ConanParty@37:java.lang.ClassCastException: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger: genius.core.issue.ValueDiscrete cannot be cast to genius.core.issue.ValueInteger:[/Users/joe/Projects/CONAN/out/production/CONAN/spearmanparty/KakeSobaSpearman.class, /Users/joe/Projects/CONAN/out/production/CONAN/CONAN/ConanParty.class];60rounds;No;;0;;;;;;KakeSobaSpearman;ConanParty;0.0;0.0;0.0;0.0;;;KillerRobot_util2;IntegerDomain-prof2
